Praefatio.	Preface.
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	After I completed for you, O sons, this book, which is the final one in medical science, along with its supplements, and I reached its end with its explanations and clarifications, it seemed fitting to me to complete it for you with this Treatise, which is a part of practice, that is, surgery by hand.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Since the practice of manual surgery has fallen in our region, and in our time has been almost entirely lost, until perhaps the knowledge of it perished, and its traces were cut off. Only small descriptions of it remain in the books of the ancients, altered by other hands, where errors and confusion have arisen, until its purposes became closed off and its efficacy weakened. It seemed to me fitting to bring it back to life with the organization of this Treatise, following the way of exposition, clarification, and abbreviation, and to include the forms of the cautery tools and other instruments of the practice, with explanations added and with the necessary urgency.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	The reason why a skilled practitioner in this art with his own hand is not found in our time is because the art of medicine is extensive, and its practitioner must first be trained in the science of anatomy, as described by Galen, until he knows the functions of the parts, their forms, and their connections and separations, and has knowledge of the bones, nerves, muscles, and their numbers and origins, as well as of the veins, both pulsating and still, and the places of their exits.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And because of this, Hippocrates said that name with name is plentiful, but with practice it is scarce, especially in the art of the hand.
Nos uero iam diximus de illo in introitu huius libri.	We have already spoken of this in the introduction of this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	For anyone who does not know what we have said about anatomy is not immune from error, an error by which people are killed, as I have seen many of those who are trained in this science and boast of it without knowledge and without experience.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	For instance, I saw a foolish physician who cut into a scrofulous abscess on a woman’s neck and severed certain arteries in her neck, causing her blood to flow until she died in his hands.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And I saw another physician who presumed to extract a stone from an older man, and the stone was large.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	He therefore reached the stone and extracted it along with a piece of the bladder.
Quare mortuus est uir in tertio die.	Thus the man died on the third day.
