Ayssi comensan las paraulas de Albucasim .	Ayssi begins speaking about Albuccas.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	Oh children, you have completed this book of medicine before your eyes (the subject), and through its exposition (explanations) and declarations (statements or facts presented within the text), I see that you comprehend what is being discussed here—this part divided by surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	When the operation is considered over in our region and at all times private, until I see you here with my science; and not a single detail escapes me from these small descriptions found freely among Ancients' works, which I will modify to correct errors and understand intentions fully, thus elongating knowledge and art.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	Here comes the first source sentence to translate: And I have seen that you need it for reviving the order of this treatise in accordance with its exposure and declaration stages; so as to restore the forms of cautery tools and other instruments used, which is necessary for completion.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	Here comes the first source sentence to translate:
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	Through what Hippocrates says is at play here, may it be small in scope and mainly within the body itself.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	May we already have told you about it in the entrance of this book; who does not know what we have told them about anatomy, will fall into error and serve death if they haven'thy seen much of these things themselves, for those are formed by understanding this science and its experiments.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	Here is the line-by-line translation of the medieval medical treatise:
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	Here comes another doctor who prescribes that the patient drink a stone from a well which had been processed in his state, and this stone was large; brought it to him with a ladle from the water jar, so that by the third day, that home (the patient) died.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And you have already summoned that one over here to extract it because of the greatness of the stone and due to its position in relation to the womb, so they will die under us.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And another doctor took the salary of our duke for surgery, and brought with him an iron implement that had fractured his thigh; due to the surgeon's ignorance, he mishandled the fracture on the ground using strong pillows and beds.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	Here is the line-by extralined translation:
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And you have called upon it (the patient), and prepared to loosen the ligament, thus obtaining calmness and relief from their pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	Even though decay has been confirmed in the limb, so that it cannot be restrained and will not stop wandering within the scope of the malady.
