Ayssi comensan las paraulas de Albucasim .	 Here begins the words of Al-Bukhari.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	 O, sons, since I have completed this book for you, which is the last of the knowledge of medicine, and its completion has achieved its purpose, and through its explanations and clarifications, it seems to me that I should complete it for you with this treatise, which is a section of the operation by hand, which is surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	 For the operation by hand is suppressed in our region and in our time, it has been greatly neglected, and its knowledge has been lost; only a few descriptions remain in the books of the Ancients, which have changed many [things] and have come to errors and confusion, so that their intentions are closed and its strength and art are lengthened.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	 And it seems to me that I should revive [the operation by hand] with the arrangement of this treatise according to the way of explanation and clarification and abbreviation; and so that it may come in the form of cautery tools and other instruments of the work as it is for the addition of clarification, and for its preparation, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	 But the reason why a good craftsman with his hand is not found in this our time is because the art of medicine is long, and its practitioner must first be trained in the science of anatomy, which counts Galen among those who knew the position of the members and their forms, and their connection and separation; and had knowledge of the bones, nerves and sinews, and their number, and their arrangement; and of the pulsating veins and the still ones, and the places of their outlet.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	 And for this, Hippocrates says that with a name it is nothing, but in the work little, and mainly in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	 But we have already spoken of that in the beginning of this book; for whoever is not knowledgeable about what we have said regarding anatomy will fall into error by which many people die, as I have seen happen too often. For some are educated in this science and then disregard it without knowledge or experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	 For I saw a foolish and inexperienced doctor cut an apostema scrophulous on the neck of a woman, and he cut some arteries of the neck so that a great amount of blood flowed out until the woman died in his hands.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	 And I saw another doctor who took it upon himself to remove a stone from a man who was in a bad state, and the stone was large. He tried to pull out that stone with a piece of the bladder, which caused that man to die on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	 And I had been called to remove that stone, and I saw that due to the size of the stone and the condition of the patient, I knew for certain that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	 Here's the line-by-line translation of the given sentence:
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	 And then release him according to his desires, and then bind him again, and let him lie dry for some days, and command that we untie the bandage; and thus enter until the space and the foot were inflamed, and it came to ruin.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	 And I was called to him, and prepared to untie the bandage, and then calmness was achieved and thus he admitted his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	 However, corruption had already taken hold in the member, so it could not be restrained, and the corruption continued to spread throughout the member until the patient was in danger.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	 And I saw another doctor who punctured a cancerous abscess, and it became ulcerated after some days, until the evil of it was greatly magnified in him.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	 The cause of which is that the cancerous tumor is full of melancholic humor, so it is not necessary for it to be cut out entirely, but only enough to be hosted by the member in its entirety.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	 And for this reason, my sons, it is necessary for you that the operation be divided into two parts: one is the operation associated with health, and the other is the work in which the greatest danger lies.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	 And I have already mentioned this in every part of this book where an operation occurs that involves error and fear; therefore, it is necessary for you to guard against this and leave it, so that the pages do not find a way to speak and dishonor you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	 And therefore take up your weapons with diligence and under the protection of God, and your patients with joy and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	 And use the best method through the grace of God to achieve healing and praiseworthy success, and abandon the terrible illnesses that are difficult to cure, and keep your weapons away from what makes you afraid, so that reliance on your faith and your name does not escape you: for greater is your glory, both in this world and forever after your holiness.
Gualia ja diyssec en alcunas sieuas monicios:	 France has already been dissected in some of its monasteries:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	 "Do not treat evil patients, lest you be called evil doctors.
E yeu ja he devesit aquest libre segontz tres capitols.	 And I have already divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	 Here begins the division of the book, and firstly of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	 The first chapter is about the head, particularly concerning the shapes of instruments and the irons of cauteries, and what is necessary for the operation.
La divisio de la segonda partida.	 The division of the second section.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	 The second chapter on incisions and punctures, as well as cupping therapy, pustules, extraction of arrows and similar matters, all categorized and organized according to the forms of instruments.
Divisio de la tersa partida.	 Division of the third section.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	 The third chapter on restoration and dislocation, and on the treatment of fractures and similar conditions; a chapter organized from head to toe, including the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	 On cauterization with fire and sharp medicine, and remembering the operation.
Am aquel comensa le tractat de tot le libre.	 With this begins the entire treatise of the book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	 It should be noted that I will explain the qualities of the preparations for this cautery and its contraindications, as well as in which complexity it is prohibited to cauterize.  (A more natural translation might be: "I want to discuss the qualities of the preparations for this cautery and its contraindications, as well as the conditions under which cauterization is prohibited.")
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	 Therefore, I say that the discourse on the quality of the preparations for cautery and its contraindications is a long and detailed discourse, subtle in science and secretly hidden; and many wise men have already spoken about it, disagreeing among themselves. For me to repeat all their discourses would be too lengthy.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	 And therefore I say that you should apply cautery universally to any condition with or without matter, except for two conditions which are called cold conditions without matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	 In a cold and dry condition with matter, you will disagree; for some say that cautery is beneficial for that, while others say the opposite about it, that cautery is not suitable for an illness caused by heat and dryness, because the nature of fire is heat and dryness, and it is inappropriate that a cold and dry illness with water that is hot and dry be healed.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	 And I disagree with those who say the opposite about this, that by cautery every cold and dry illness that occurs in the body of men is helped; for when you compare the human body and its humidity to the nature of fire, you find the human body to be cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	 And I say by this reasoning that experience has already shown me many times.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	 However, it is not necessary to dwell on this matter which has already been proven and practiced in the chapter on cautery by previous practice, and he knows the diversity of human conditions and the nature of illnesses within them, as well as their causes and accidents, and the time span for them.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	 In other cases, there is no need to worry about it, especially in damp and cold ailments, because all doctors agree on this, and they do not disagree on the use of cautery for these.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	 And know, children, that concerning the secret of healing through fire and its goodness, it is agreed upon to use burning cautery in medicine, because fire is simple and its action only reaches the member being cauterized and not other adjacent members except for slight harm.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	 However, the action of medicine applied through burning spreads to adjacent members, and it quickly brings healing to the sick member that is difficult to heal and quickly helps.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	 But fire, due to its sublimity and the goodness of its substance, does not cause this except for superfluities. And it is known to us through experience and long years of service in studying the art, concerning the truth of causes; and therefore I am excused from lengthy discourse. And if it were not that my book is not read here, I would have hidden a secret with fire and the quality of its operation in the body and its expulsion by which it expels sicknesses, with philosophical demonstrative discourse, which would be sharpened in your minds.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	 And know, children, that they disagree about the time in which it is appropriate to make a cautery and they consider the best time to be spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	 And I say that cautery is appropriate at any time, because the harm caused by the unfortunate circumstance of time is submerged in the benefit that comes from applying the cautery, and especially if the cautery is for painful or necessary pains, such as fistulas, which do not tolerate delay, lest something worse should happen.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	 And this should not be in your thoughts, O children, because only the common people and foolish doctors think this way, as if to say that the ailment which is cured by cautery does not recur at all times, and they consider this outcome.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	 And the reason is not as they think, because cautery is only used in places where medicine cannot reach to change the complexion and dry out the humidity that causes pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	 But nevertheless, cautery is superior to medicine in its strength and the effectiveness of its operation, as well as the greatness of its lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	 And it is possible that his ailment may return at some point in time, according to the patient's complexion and the location of his ailment, as well as his strength and what has been prepared in his body for the accumulation of excesses within him, and what he has received in his diet from similar causes; unless the ailment treated with cautery is a subtle ailment with few superfluities and humors, such as a tooth cautery for pain, it is possible that the pain will not return to him. But this only happens rarely.
