Ayssi comensan las paraulas de Albucasim .	 "Thus begin the words of Avicenna.
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	 "Oh, children, since I have completed this book for you, which is the last of the science of medicine, and by completing it its end is achieved, and by its expositions, and by its explanations, it seems to me that I complete it for you with this treatise, which is a part of the operation with the hand, that is surgery.
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	 "For the operation with the hand is rejected in our region and in our time of all privation, until very little remains of its science, and its traces are erased; and nothing remains of it except some small descriptions in the books of the Ancients, which have changed the most and have become errors and confusions, to the point that their intentions are closed and its power and art are weakened.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	 "And it seems to me that I revive it with the organization of this treatise according to the way of exposition and declaration and abbreviation; and so that it comes with the forms of the cautery tools and the other instruments of the work as it is by addition of the declaration, and for its preparation, which is necessary.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	 This text discusses the difficulty of finding a good physician in the present time due to the length and complexity of medical training. It emphasizes that to be proficient in medicine, one must have extensive knowledge of anatomy, including the structure and function of various body parts, their connections and separations, and the number and arrangement of bones, nerves, sinews, and blood vessels (both pulsatile and quiet ones). The author also mentions the importance of understanding the places where these vessels emerge. Here's a line-by-line translation:
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	 And for that reason, Hippocrates said that it is not just a word, but small in name and greater in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	 But we have already spoken of that in the introduction to this book; for whoever is not knowledgeable about what we have said about anatomy will fall into error by which men die, as I have seen happen too often, because some are trained in this science and then cast it aside without knowledge or experience.
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	 For I saw a foolish and inexperienced physician cut into an ulcerous abscess on the neck of a woman, and he also cut some arteries in the neck, causing a great deal of blood to flow until the woman fell dead into his hands.
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	 And I saw another physician who attempted to remove a stone from a man who had developed an issue in his bladder; the stone was large, and it came out with a piece of the bladder, so that the man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	 And I myself was called to extract it, and I saw that because of the size of the stone and the condition of the patient, I knew for certain that he would die.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	 And I saw another physician who took payment of a duc from our land for surgery, and he treated a negro castrato who had a fracture in his thigh; and the physician, with his ignorance, extracted the fracture through the wound with cushions and bandages with strong compression, and did not allow the wound to breathe.
