Ayssi comensan las paraulas de Albucasim .	And here is the translation of the given line:
O, filhs, pus yeu he a vos complit aquest libre, le qual es le derier de la sciencia de medicina, per le compliment de lu so consequit la fi en lu, e per las exposicios de lu, e per las declaracios de lu, es a mi vist que yeu complesca aquel a vos am aquest tractat, le qual es partida de la operacio am ma, so es cyrurgia.	O, filhs, pus yeu he a vos complit aquest libre,  
Quar la operacio am ma es prostrada en nostre regio e en nostre temps de tot privada, entro que fort leu peric la sciencia de lu, e le vistigi de lu es ostat; e no romasero de lu sino alcunas petitas descripcios en les libres dels Antics, les quals mudero las mas e endevenc ad aquels error e heyssitacio entro que son clausas las entencios de lu e es elonguada la forsa de lu e l’art.	For the operation with the hand is considered deprived in our region and in our time, except that somewhat of its knowledge and the traces of it remain; and nothing remains of it but some small descriptions in the books of the Ancients, which have changed greatly and led to errors and superstitions such that the meanings of it are sealed off and its strength and art have been weakened.
E es vist a mi que yeu vivifique aquela am ordenacio de aquest tractat en aquela segon la via de exposicio e de declaracio e de abreviacio; e per que vengua am las formas dels ferramentz de cautheri e dels autres instrumentz de la obra cum sia per addicio de la declaracio, e per preparacio de lu, la qual causa es necessaria.	And it seems to me that I revive that through the organization of this treatise according to the method of exposition and declaration and abbreviation; and so that it comes with the forms of the tools of cautery and other instruments of the work as well as by adding to the explanation, and by preparing it, which is a necessary cause.
Mays la causa per la qual no es atrobat bo artifex am la sieua ma en aquest nostre temps, es quar la art de medicina es longua, e que cove le sieu actor denant aquo esser excercitat en la sciencia de anotomia la qual recontec Gualia entro que sapia les juvament dels membres e las formas de aquels, e la conjunctio e la separacio de lor; e haia la conoyssensa dels osses, dels nervis e dels lacertz, e·l nombre de aquels, e la egrecio de lor; e de las venas pulsatils e de las quietas, e dels locs del eyssiment de lor.	But the reason why no skilled practitioner is found with their hand in our time is that the art of medicine is long, and it requires its practitioner to be exercised in the science of anatomy, which Galen mentions within so that one knows the joints of the members and their forms, and the connection and separation of them; and there is knowledge of the bones, nerves, and veins, and the number of those, and their extension; and of the pulsating veins and the quiet ones, and the places of their origin.
E per aquo ditz Ypocras que am u nom es mot, mays en l’obra petit, e majorment en la art de la ma.	And for this reason Hippocrates says that a name does not matter much, but rather in the deed it is small, and especially in the art of the hand.
Mays nos ja avem dit de aquel en l’introit de aquest libre; quar qui no es scient aquo que li avem dit de anotomia, no es evacuat que no caia en error per la qual siran mortz les homes, ayssi cum yeu he vist trops de aquels, quar alscus son formatz en esta sciencia e gettan se de aquela ses sciencia e ses experiment.	Here is the translation of the given sentence:
Quar yeu vi un metge folh e enperit aver incidit un apostema escrophilos en le colh de una femna, e incidic alcunas arterias del colh per que fluic gran sanc entro que la femna cazec morta entre las mas de lu.	Here is the translation line by line:
E vi un autre metge que pres que el traguera una peyra d’un home le qual avia procesit en sa etat, e la peyra era gran, e venguet a lu e trayssec aquela peyra am un tros de la vesiqua, per que aquel home al tertz dia es mort.	And I saw another doctor who attempted to remove a stone from a man who had suffered in his condition, and the stone was large, and he came to him and extracted that stone with a piece of the bladder, for which that man died on the third day.
E yeu ja apelat fuy a estrayre aquela, e vi que per la grandesa de la peyra e per la disposicio del malaute conogui subre lu que morira.	And I have already called for extracting it, and saw that because of the size of the stone and the condition of the patient, he would die during the procedure.
E vi un autre metge le qual prenia stipendic de un duc de nostra terra per cyrurgia, e endeven a un crastrat negre le qual era deves lu fractura en la coyssa de lu; e perparec le metge am la sua ignorancia, estrayssec la fractura, sobre la plagua, am pulvinas e astelas am forta strectura, e no layssec a la plagua espiracio.	And I saw another doctor who took pay from a duke of our land for surgery, and he came upon a black castrated man who had a fracture in his thigh; and the doctor prepared with his ignorance, extracted the fracture, on the wound, with pillows and splints with strong tension, and did not leave the wound room to breathe.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then untie the bandage according to his desires, and then dress [the wound], and then keep it dry for some days and command that we untie the binding; and thus remain until the thigh and foot become inflamed, and reach destruction.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, and prepared to loosen the binding, and relief from his pains was achieved.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But however corruption was already confirmed in the member, because it could not be restrained, and the corruption did not cease to spread throughout the member until the patient was in danger.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And you see another doctor who perforated a cancerous abscess, and it became ulcerated after about those days, during which the malignancy of it was magnified by its lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	Here is the translation of the given sentence:
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And by this, sons, it is necessary for you that the operation be divided into two parts: one part of the operation which is associated with health, and in the work where there is danger in the most critical conditions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already expressed this throughout the entire book where I describe an operation in which there is error and fear; therefore, it is necessary for you to keep this in mind and let go of that, so that the pages do not find a way to speak and disgrace you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take up your weapons with diligence and under the protection of God, and treat your patients with happiness and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best method by the grace of God leading to health and favorable outcomes, and leave behind terrible illnesses that are difficult to heal, and protect yourselves from what makes you fear, so that hesitation in your faith and in your name does not escape you: for more remains to your glory, and further on in this world and later for your sanctities.
Gualia ja diyssec en alcunas sieuas monicios:	When translating this line from the medieval medical treatise:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not treat a bad illness improperly, so that you are not named as a bad doctor.
E yeu ja he devesit aquest libre segontz tres capitols.	And I have already divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Begin the division of the book, and first of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter is ordered concerning the head to the feet, in the forms of instruments and in the tools of cauteries, and about what is necessary for the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on drying and piercing, and on cupping, and on plasters, and on the extraction of arrows and similar objects, all chaptered and ordered according to the forms of the instruments.
Divisio de la tersa partida.	The division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoration and dislocation, and on the treatment of fractures and similar conditions; a chapter ordered from head to foot, and concerning the forms of the instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	On cauteries with fire and sharp medicines and a reminder of the operation.
Am aquel comensa le tractat de tot le libre.	With that, the treatise on the entire book begins.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	It is necessary for me to say the quality of the benefits of that cautery and of its harms, and in what condition cautery is prohibited.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore, I say that the discourse on the quality of the usefulness and harm of cauterization is long and prolix, subtle due to science, and secretively hidden; many wise people have already spoken about it, and there are disagreements among them, and for me, a little bit of their discourses is enough, fearing lengthiness.
