Praefatio.	Introduction
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	After I have completed you, my son, the book that is considered to be the last in medicine with its supplement and addition, following his explanations and declarations directly, it has become clear to me how best to complete you with this tract on surgery, namely, by hand.
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Since operation with hands is established in our region and time entirely within it; perhaps the science of this might have perished or vanished from sight: except for brief descriptions found among ancient texts which they touched upon their work, leading to errors and hesitation until intentions are clarified and its lance has been lengthened according to positioning, declaration, and abbreviation as outlined in this tractate; moreover, I shall proceed with fire-hardened cautery tools and other remn extraneous to the operation itself.
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	Because the surgeon does not have his craft in this time of ours, it is due to: for the art of medicine is long and requires its master to exercise himself beforehand in anatomy as Galenus did until he knows the forms of the members themselves, their connections and separations, and has knowledge of bones, nerves, fishes (which may refer here metapthyically or literally), number thereof, and their excretion; also heartbeats that are regular and calm.
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And because Hippocrates stated that the name with its work is much and chiefly associated with handcraft, especially within medicine.
Nos uero iam diximus de illo in introitu huius libri.	We have already learned about that matter within this book.
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	For those who are not knowledgeable about anatomy, they will fall into error and harm themselves: as I have seen many of these individuals form around this science without understanding it and boast about it without practical experience.
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	What is it that I witnessed a barber surgeon following with his practice of apostemy (a form of trepanning used to treat skull fractures and abscesses), applying forceps directly on the neck: so that blood flow ceased in the woman until she died between his fingers.
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And I saw another barber surgeon who demanded that he extract the stone from an elderly patient's body whose bone had already been processed: and the stone was large. This suggests a crude attempt at surgical intervention without proper tools or skills, likely leading to severe complications for such a vulnerable individual due to potentially inadeimig medical understanding of the procedure by this barber surgeon during that time period.
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	He thus touched him and extracted it with a surgical knife.
Quare mortuus est uir in tertio die.	Why did the man die on the third day?
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	I have already been called to extract it out of the stone's size and positioning for those who are dying.
Et uidi medicum alium, qui accipiebat stipem apud quendam Ducum terrae nostrae propter medicinam: et accidit eunucho nigro, qui erat apud ipsum, fractura in crure eius prope calcaneum: et properauit medicus cum ignorantia sua, et strinxit fracturam super uulnus cum puluinaribus, et astellis strictura forti, et non dimisit uulneri expirationem.	And I saw another physician who took the staff of some dukes with regard to medicine: and it happened that there was an ebony-skinned eunuch at hand; he had a fracture near the heel, and the doctor treated him ignorantly, tightening the fracture above the big toe alongside swelling pressure, and without relieving the pain.
Deinde absoluit eum secundum desyderia sua.	Then he removed it according to his judgment of its position.
Postea dimisit eum diebus aliquot, et praecepit ei, ne solueret ligamentum: et stetit sic donec apostematum est crus eius, et ipsius pes, et peruenit ad perditionem.	Then he sent it away for a few days and warned him not to dislocate the joint; leaving it so until his toe bone and foot were numbed by pins: then let him proceed towards damnation.
Vocatus sum ergo ad eum: et properaui ad soluendum ligamentum: et consecuta est tranquillitas, et euasit a doloribus suis.	I have therefore called to him and directed him toward dislocating the joint; after which he achieved calmness and relieved himself of his pains.
Verumtamen corruptio iam confirmata erat in membro: et non potui refraenare ipsam.	However, damage had already been confirmed within the limb; and he could not prevent it from happening there itself. This suggests a critical point where despite efforts to intervene surgically with techniques like setting bones or relieving pain through methods such as pins (apostomata), further injury may have occurred that was beyond immediate repair, leading possibly towards an irreversible condition within the injured part of his body.
Pon ergo cessauit corruptio perambulare in membro, donec periit.	Therefore he ceased to walk on the limb until (or perhaps after) passing away or being unable to continue due to injury severity and extent of damage within his body part that required him not just medical intervention but also rendered mobility a lost cause, indicating an end-stage condition requiring rest. This phrase underscores both physical suffering as well as the ultimate consequences suffered by Albucasis's patient wherein movement was halted due to severe impairment or loss of limb function until death occurred (or at least ceased) which might suggest a fatal outcome linked with his medical predicament during that period.
Et uidi medicum alium, qui perforauit apostema cancerosum: et ulceratum est post dies, donec magnificata est malicia eius cum domino ipsius.	And heed this surgeon of another, who pierced the abscess: and the sore was there after a day, until his malice became manifest with His Lordship himself.
Quod est, quia quando est cancer purus ex humore melancholico, tunc non oportet ut perueniatur ad eum cum ferro omnino, nisi sit in membro quod toleret, ut abscindatur totum eius.	When there is a pure tumor from the moist black bile, it should not be applied to it with iron entirely unless it can endure within a limb so that its entirety may be cut off.
Et propter illud o Filii, necesse est uobis, ut sciatis, quod operatio cum manu diuiditur in duas diuisiones: scilicet, operationem cui associatur salus: et operationem, cum qua est periculum in pluribus dispositionibus.	And because of this, it is necessary for you to know that surgery with hand division occurs in two operations: the one associated with health and the one where there are multiple dispositions.
Et ego iam excitaui in omni loco huius libri, in quo uenit operatio, in qua est terror et timor.	And I have already stirred up fear and trembling within me at the sight of this surgery.
Quare necesse est uobis, ut caueatis illud, et dimitatis ipsum: ut non inueniant stolidi uiam ad loquendum, et dehonestandum.	Why is it necessary for you to fear and refrain from mentioning this thing, so that you do not provoke the proud individuals into speaking or deceiving?
Accipite ergo mensuram cum sollicitudine et protectione, et infirmos uestros cum facilitate et firmitudine, et utimini uia meliore perducente gratia Dei ad salutem et successionem laudabilem: et dimittite aegritudines terribiles difficilis sanationis: et tollite animas uestras ab eo quod facit uos timere, ut ingrediatur super uos haesitatio in fide uestra et commodo uestro.	Measure carefully with effort and protection the clothes of your body, strengthen them easily for health and durability: use better roads on their way to salvation and praiseworthy succession; release from heavy illnesses that are hard to cure: and remove those spirits within you which make you fear as they hesitate between faith in yourself and comfort.
Est enim magis remanens ad gloriam uestram, et sublimius in mundo isto, et postremo ad quantitates uestras.	Indeed, it remains more esteemed within the house and higher herein, and finally attains to its quantities therein.
Galenus enim iam dixit in quibusdam suis admonitionibus.	Indeed, Galen had said something similar about them. (Note: This translation assumes that the original Latin sentence relates to a statement made by Galen regarding some topic discussed prior.)
Non medicetis aegritudinem malam: ne nominemini medici mali.	Do not treat illness with bad doctors: avoid naming them as healers. (Note: This translation conveys the idea that one should seek competent medical care and be wary of unqualified practitioners.)
Iam autem diuisi hunc Tractatum secundum tria Capitula. ¶	However, this treatise is divided into three chapters (Note: The translation indicates that the work being referred to in Latin has been organized into a structure consisting of three distinct sections or parts.)
Capitulum primum.	Chapter one. (This simple translation identifies the first chapter within a larger text, likely structured with multiple chapters as suggested by previous translations and instructions given to me.)
De Cauterio cum igne, et Cauterio cum medicina acuta, capitulatum, et ordinatum a capite usque ad pedes, et formis instrumentorum, et ferramentis Cauterii: et omni quod necessarium est in operatione. ¶	This chapter concerns cautery using fire and sharp medicine acute; it spans from head to feet with respects to the use of tools (instruments) and materials necessary for a surgeon's practice, particularly focusing on techniques involving heat treatment in surgery. The passage indicates detailed instructions or descriptions within this section about cauterization methods as part of medical procedures during that time period. Note: This translation likely comes from an older text where practical aspects such as tools and treatments were explicitly discussed for educational purposes, reflecting the traditional approach to medicine before modern advancements in surgical techniques and equipment.
Capitulum secundum.	Chapter II.
De sectione et perforatione, phlebotomia et uentosis, et uulneribus: et extractione sagittarum, et similibus illius: et totum capitulatum, ordinatum formis instrumentorum. ¶	Of veins and punctures, bleeding and wounds: And the removal of arrows, and similar objects; and everything arranged in proper order according to surgical instruments.
Capitulum tertium.	Chapter III.
De restauratione, et dislocatione, et curatione torsionis, et similibus illius: capitulatum, ordinatum a capite usque ad pedes, et formis instrumentorum.	In Chapter Three we discuss the restoration, and dislocation treatment, as well as curing sprains and similar injuries: from head to foot, including tools necessary for these procedures. (Note: This translation attempts to capture the essence of a medieval Latin medical text on surgery by Albucasis; however, without access to the specific source material or its context within the larger work, this rendering is based solezymedical jargon and terminology common in such texts.)
Soli Deo Gloria.	For the glory of God Alone." (This phrase was commonly used by scholalrds during medieval times to indicate that any intellectual work, including translations or writings they were engaged with, should be dedicated solely for the honor and acknowledgment of God.)
Liber Chirurgici Albucasis.	The Book of Surgery by Albucasis (also known as Abu al-Qasim Khalaf ibn Zuhr). This title refers to a seminal medieval surgical text attributed in Latin translations and commentaries on the works of Arabic surgeon Al-Zahrawi, who is often regarded as one of the fathers of modern surgery. The translation mentioned earlier would be from this foundational work which was translated into Latin during the 10th century AD for wider dissemination in medieval European medicine and education circles—commonly referred to by scholars when discussing translations related to medical knowledge transfer between cultures at that time period.
Pars I.	Part One (or Chapter First, depending on the structure of Albucasis's original work). This would be a segment within his comprehensive surgical treatise where specific topics or procedures are addressed in detail for educational and practical purposes—similar to how modern textbooks might present information. In medieval medical literature translated into Latin at that time, these segments were critical as they informed practitioners of the era's advancements beyond what was known through classical texts alone.
¶ De Iuuamento, et Nocumento Cauterii: et quibus complexionibus conueniat, et quo tempore: et si cum ferro, uel auro.	On cautery and its harmfulness: according to the condition of health it suits, when using iron or gold.
Caput I.	Chapter I.
Sed Ante Quidem Quam rememorer operationis cum eo, oportet ut dicam qualitatem Iuuamentorum eius, et Nocumentorum ipsius: et in qua complexione exhibeatur.	Before which surgery you are about to perform, it is necessary that you declare the quality of the operation and any harm done to him within its context.
Dico ergo, quod sermo de qualitate iuuamenti Cauterii, et nocumenti eius, est sermo prolixus, et subtilis, scientia, et secretum occultum.	I thus declare that the language concerning the quality of cautery and its harm is lengthy, subtle, a science, and an esoteric knowledge.
Etiam locuta fuit in eo multitudo sapientum, et dissenserunt in eo: et mihi quidem sufficit parum ex sermonibus eorum, timens prolongationem.	Moreover, it was spoken among them too many wise men who disagreed therein and to me as well the discourse seemed insufficient due to its lengthening.
Dico ergo, quod Cauterium confert uniuersaliter omni complexioni, quae est cum materia, et absque materia: excaeptis duabus complexionibus, quae sunt complexio calida absque materia, et complexio sicca absque materia.	I declare that Cautery provides a universal remedy for all conditions involving matter and without matter, except for two kinds of humors: the hot humor without matter, and the dry humor without matter.
In complexione autem calida et sicca cum materia dissenserunt.	In a hot and dry mixture with their respective substances separated.
Quidam enim dixerunt, quod Cauterium iuuatiuum est in ea.	Some said that a cautery was used on them.
Et dixerunt alii contrarium illius, scilicet quod Cauterium non est conueniens in aegritudine, quae est ex caliditate et siccitate: quoniam natura ignis est caliditas: et inconueniens est, ut sanetur ex agritudine calida et sicca, cum calido et sicco.	And they said otherwise that a cauterium is not suitable for the disease which is from heat and dryness: since fire embodies warmth; hence it would be inappropriate to heal with such by applying heat and aridity together, when both are present.
Et dixit ille qui dicit contrarium illius: quod per Cauterium fit iuuamentum in omni aegritudine calida et sicca, quae accidit in corporibus hominum: quoniam quando tu comparas corpus hominis, et humiditates eius, ad complexionem ignis, inuenis corpus hominis frigidum.	And he said the contrary of it: that by means of a cauterium there is relief made for any disease warm and dry which occurs within human bodies; since when you compare the body of man with its moisture, to an imitation of fire'dictions (the heat), onto the body of man cold.
Et ego quidem dico per sermonem eius: quia ex perimentum iam detexit mihi illud aliquotiens.	And I say through his speech that it has already left me on occasion from experimentation.
Verumtamen non oportet, ut ueniat super illud, nisi qui iam probatus est, et exercitatus in capitulo Cauterii exercitio ultimo, et cognouit diuersitatem complexionum hominum, et dispositionem aegritudinum in se ipsis, et caussas earum, et accidentia ipsarum, et spacium temporis earum.	Truly not ought it to occur that he encounters this thing, except for one who has already been tried and practiced in the art of cautery, having learned long ago the diversity of human constitutions, their disposition within themselves, the causes of these conditions, and the nature and duration of such occurrences.
