Praefatio.	Preface. 
Postquam compleui uobis o Filii, librum hunc, qui est postremus scientiae in medicina cum complemento ipsius, et consecutus sum finem in eo, ex expositionibus eius, et ipsius declarationibus, uisum est mihi, ut compleam ipsum uobis cum hoc Tractatu qui est pars operationis, id est, chirurgiae cum manu.	Having completed for you, O Sons, this book, which is the last of medical science with its complement, and having reached the end thereof from its expositions and declarations, it seemed to me that I should complete it for you with this Treatise which is a part of operation, that is surgery with the hand. 
Quoniam operatio cum manu prostrata est in regione nostra, et tempore nostro priuata omnino: donec fortasse periit scientia eius, et abscissum est uestigium eius: et non remanserunt ex ea, nisi descriptiones paruae in libris antiquorum, quas mutauerunt manus: et accidit eis error et haesitatio, donec clausae sunt intentiones eius, et elongata est uis ipsius: Visum est mihi, ut uiuificem eam cum ordinatione huius Tractatus in ea secundum uiam ex positionis, et declarationis, et abbreuiationis: et ut ueniam cum formis ferramentorum Cauterii, et reliquorum instrumentorum operis: cum fit ex declarationis additione, et ex properatione eius quod est necesse.	Since operation with the hand is prostrated in our region and time utterly private, so that perhaps the knowledge of it has perished, and its trace cut off; and there remain from it no descriptions except small ones in the books of the ancients, which hands have changed: and error and hesitation have happened to them until its intentions were closed and its force elongated. It seemed to me that I should revive it with the arrangement of this Treatise therein according to the way of exposition, declaration and abbreviation; and that I should come with forms of instruments of the Cautery and the other working instruments, with what is done from the addition of declarations and from its hastening which is necessary.  
Caussa autem propter quam non inuenitur bonus artifex eius cum manu sua in hoc nostro tempore, est: quia ars medicinae est longa, et oportet auctorem eius exercitari ante illud in scientia anatomiae, quam narrauit Galenus, donec sciat iuuamenta membrorum, et ipsorum formas, et eorum coniunctionem, et separationem, et habeat cognitionem ossium, et neruorum, et lacertorum, et numerum ipsorum, et eorum egressionem, et uenarum pulsatilium, et quietarum, et locorum exitus earum.	But the cause for which a good craftsman of it with his hand is not found in our time is because the art of medicine is long, and the author thereof must exercise himself before that in the knowledge of anatomy as Galen narrated until he knows the joints of the members and their forms, and their conjunction and separation, and has knowledge of bones and nerves and sinews and their number and their egress, and arteries pulsatile and quiet, and places of their exit.  
Et propter illud dixit Hippocrates, quod nomen cum nomine est multum, et cum opere est paucum, et praecipue in arte manus.	And on account of that, Hippocrates said that a name with a name is much, and with work it is little, and especially in the art of the hand. 
Nos uero iam diximus de illo in introitu huius libri.	We indeed have already spoken of him at the beginning of this book.  
Quoniam qui non est sciens, quod diximus de anatomia, non euacuatur, quin iam cadat in errorem, quo interficiuntur homines: sicut ego uidi multos ex illis, qui formantur de hac scientia, et iactant se de ea absque scientia, et sine experimento.	For he who is not knowing what we said of anatomy is not purged, but rather falls into error by which men are killed: just as I have seen many of those who are formed in this knowledge and boast themselves thereof without knowledge and without experiment. 
Quod est, quia uidi medicum stolidum secuisse apostema scrophulosum in collo mulieris, et incidit quasdam arterias in collo: quare fluxit sanguis mulieris, donec cecidit mortua inter manus eius.	For this reason happened to me to see a stupid doctor cut open a scrofulous abscess on the neck of a woman and he cut into some arteries in her neck, so that blood flowed from the woman until she fell dead between his hands. 
Et uidi medicum alium, qui praesumpsit ut extraheret lapidem uiro, qui processerat in aetate, et lapis erat magnus.	And I saw another doctor who presumed to extract a stone from a man who was advanced in age, and the stone was large. 
Peruenit ergo ad eum, et extraxit ipsum cum frusto uesicae.	He therefore came upon him and extracted it along with a piece of the bladder. 
Quare mortuus est uir in tertio die.	Therefore the man died on the third day. 
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	And I myself had already been summoned to extract it and I saw from the size of the stone and the condition of the sick man that he would die. 
Et uidi medicum alium, qui accipiebat stipem apud quendam Ducum terrae nostrae propter medicinam: et accidit eunucho nigro, qui erat apud ipsum, fractura in crure eius prope calcaneum: et properauit medicus cum ignorantia sua, et strinxit fracturam super uulnus cum puluinaribus, et astellis strictura forti, et non dimisit uulneri expirationem.	And I saw another doctor who was receiving a fee from a certain Duke in our land for medicine: and it happened that a black eunuch who was with him suffered a fracture in his leg near the heel: and the doctor hastily, with his ignorance, bound the fracture over the wound with bandages and strong binding straps and did not allow the wound to breathe. 
Deinde absoluit eum secundum desyderia sua.	Then he discharged him according to his wishes. 
Postea dimisit eum diebus aliquot, et praecepit ei, ne solueret ligamentum: et stetit sic donec apostematum est crus eius, et ipsius pes, et peruenit ad perditionem.	Afterwards he dismissed him after several days and ordered him not to loosen the bandage: and it remained so until his leg and foot became abscessed and he came to ruin. 
Vocatus sum ergo ad eum: et properaui ad soluendum ligamentum: et consecuta est tranquillitas, et euasit a doloribus suis.	I was therefore summoned to him and I hurried to loosen the bandage and there was relief and he escaped from his pains. 
Verumtamen corruptio iam confirmata erat in membro: et non potui refraenare ipsam.	Nevertheless the corruption had already been confirmed in the limb and I could not restrain it.  
Pon ergo cessauit corruptio perambulare in membro, donec periit.	Put therefore the corruption ceased to spread in the limb until it died. 
Et uidi medicum alium, qui perforauit apostema cancerosum: et ulceratum est post dies, donec magnificata est malicia eius cum domino ipsius.	And I saw another doctor who perforated a cancerous abscess and it became ulcerated afterwards until the malice of it was magnified with its master. 
Quod est, quia quando est cancer purus ex humore melancholico, tunc non oportet ut perueniatur ad eum cum ferro omnino, nisi sit in membro quod toleret, ut abscindatur totum eius.	For this reason: when cancer is pure from melancholic humor then it is not necessary to approach it with iron at all unless it is in a limb which can tolerate it so that the whole of it may be cut off.
Et propter illud o Filii, necesse est uobis, ut sciatis, quod operatio cum manu diuiditur in duas diuisiones: scilicet, operationem cui associatur salus: et operationem, cum qua est periculum in pluribus dispositionibus.	And for that reason O sons, it is necessary for you to know that operation with the hand is divided into two divisions: namely, operation which is associated with health; and operation with which there is danger in many dispositions. 
Et ego iam excitaui in omni loco huius libri, in quo uenit operatio, in qua est terror et timor.	And I have already aroused in every place of this book, in which comes operation, in which there is terror and fear.  
Quare necesse est uobis, ut caueatis illud, et dimitatis ipsum: ut non inueniant stolidi uiam ad loquendum, et dehonestandum.	Therefore it is necessary for you to be cautious of that and moderate it so that fools do not find a way to speak and dishonor.  
Accipite ergo mensuram cum sollicitudine et protectione, et infirmos uestros cum facilitate et firmitudine, et utimini uia meliore perducente gratia Dei ad salutem et successionem laudabilem: et dimittite aegritudines terribiles difficilis sanationis: et tollite animas uestras ab eo quod facit uos timere, ut ingrediatur super uos haesitatio in fide uestra et commodo uestro.	Therefore receive the measure with solicitude and protection, and your infirm ones with ease and firmness, and use the better way leading by God's grace to salvation and praiseworthy succession; and dismiss terrible illnesses of difficult healing; and lift your souls from that which makes you fear so that hesitation may enter upon you in your faith and well-being. 
Est enim magis remanens ad gloriam uestram, et sublimius in mundo isto, et postremo ad quantitates uestras.	For it is more lasting for your glory and more sublime in this world, and finally for your quantities.  
Galenus enim iam dixit in quibusdam suis admonitionibus.	For Galen already said in some of his admonitions. 
Non medicetis aegritudinem malam: ne nominemini medici mali.	Do not treat a bad illness lest you be called a bad doctor.  
Iam autem diuisi hunc Tractatum secundum tria Capitula. ¶	Now however I have divided this Treatise according to three Chapters. 
Capitulum primum.	Chapter One.
De Cauterio cum igne, et Cauterio cum medicina acuta, capitulatum, et ordinatum a capite usque ad pedes, et formis instrumentorum, et ferramentis Cauterii: et omni quod necessarium est in operatione. ¶	On Cautery with fire, and Cautery with sharp medicine, chaptered and ordered from head to foot, and the forms of cautery instruments and tools; and all that is necessary in the operation. 
Capitulum secundum.	Chapter Two. 
